Feature,Correlation with ezafe_label
ezafe_label,1.0
dependent_deprel_case,0.17958385277732555
dependent_upos_ADP,0.17944717287228376
dependent_deprel_det,0.1639801293181899
dependent_upos_DET,0.16153968385450554
dependent_deprel_conj,0.13824407083516313
dependent_deprel_cc,0.1189854820398321
dependent_upos_CCONJ,0.11875663694810536
nominal_head_upos_PROPN,0.05420086506853794
dependent_deprel_nummod,0.0528037383371542
dependent_upos_SCONJ,0.051224087665183056
dependent_upos_NUM,0.05049471440175331
dependent_deprel_nsubj,0.04918273041661799
dependent_deprel_mark,0.047697733577162456
dependent_deprel_advmod,0.045565824095766
num_dependents_nominal,0.04476820909816867
dependent_deprel_orphan,0.03901031834115364
dependent_deprel_cop,0.03582811422839833
dependent_upos_ADV,0.03376960673818491
dependent_upos_AUX,0.0327111107384677
dependent_deprel_obl,0.029323659163730677
dependent_deprel_advcl,0.02853538414681194
source_file_Dk5_B.conllu,0.027499931208519523
dependent_deprel_parataxis,0.02135308079575559
dependent_upos_PART,0.021195218307194088
dependent_deprel_advmod:tmod,0.018396894699595698
dependent_deprel_flat,0.018063818505348196
dependent_deprel_advmod:emph,0.017620504292747596
source_file_GBd_TD1.conllu,0.016957847434922853
nominal_head_upos_PRON,0.01683956503514514
dependent_deprel_compound:redup,0.016726026915324658
source_file_RAF-TD2.conllu,0.015744537973583685
dependent_deprel_obj,0.01349264746172535
dependent_deprel_list,0.01081585500238026
dependent_deprel_aux,0.01051089533405608
dependent_deprel_vocative,0.010196846681797649
dependent_deprel_dislocated:topic,0.009872841736093426
dependent_deprel_cc:nc,0.009872841736093369
dependent_deprel_obl:tmod,0.008829967683709772
dependent_deprel_xcomp,0.0062543468622860985
dependent_deprel_nsubj:outer,0.006242923569092408
dependent_deprel_compound:lvc,0.006242923569092356
dependent_deprel_dislocated,0.0062429235690923245
dependent_deprel_obl:lmod,0.00569886076838543
dependent_deprel_ccomp,0.005698860768385379
dependent_deprel_iobj,0.005698860768385356
dependent_deprel_cc:preconj,0.005097106315860927
dependent_deprel_nsubj:pass,0.0044141285471241895
dependent_upos_PUNCT,0.0036040432976393944
dependent_deprel_clf,0.0036040432976393614
dependent_deprel_compound,0.0036040432976392656
dependent_deprel_advmod:tim,0.0025483886095229525
dependent_deprel_discourse,0.002548388609522948
dependent_deprel_det:emph,0.002548388609522937
dependent_deprel_fixed,0.0025483886095229247
dependent_deprel_nsubj:emph,0.002548388609522919
dependent_deprel_acl,0.0024291297245877578
dependent_deprel_appos,0.0023918814052461125
dependent_deprel_dislocated:res,0.0019121319062667611
dependent_upos_X,0.0011659114521987979
source_file_NM_TD4a.conllu,0.0002970954970902851
dependent_deprel_csubj,-0.0006046871093081567
dependent_deprel_nmod:poss,-0.0008552856008529293
dependent_deprel_advmod:lmod,-0.0023954355316169523
source_file_RFS-TD2.conllu,-0.0034471009976388073
distance,-0.004281084577173478
source_file_Dk7-B.conllu,-0.0052876940291076814
dependent_deprel_acl:cleft,-0.006987156525738362
source_file_NM_K35.conllu,-0.010375628055517666
source_file_ZWY-K20.conllu,-0.01230279933151675
source_file_Col_RFS_TD2.conllu,-0.013082868226122906
source_file_DD-K35.conllu,-0.016570465424057552
source_file_DMX-L19.conllu,-0.01799336520986657
source_file_ZWY-K43a.conllu,-0.020125228319079917
dependent_deprel_det:poss,-0.03027559222871006
nominal_head_upos_NOUN,-0.05449004866284978
dependent_upos_PRON,-0.05624982005676904
is_verbal,-0.07160940105721138
dependent_upos_VERB,-0.09955006972308163
dependent_upos_PROPN,-0.1277050235131228
dependent_upos_NOUN,-0.14780254138152865
dependent_deprel_acl:relcl,-0.18234710028120715
dependent_upos_ADJ,-0.24653983547986877
dependent_deprel_amod,-0.2598230307998663
num_dependents_dependent,-0.35981450768769074
position_numeric,-0.4017562172895005
dependent_deprel_nmod,-0.45132977178426326
