Feature,Coefficient Value,Absolute Importance
dependent_deprel_parataxis,3.7214038346996916,3.7214038346996916
dependent_deprel_advcl,3.3501234369921056,3.3501234369921056
dependent_deprel_nmod,-3.269504058792642,3.269504058792642
dependent_deprel_amod,-3.198394275880503,3.198394275880503
dependent_deprel_orphan,3.1541764312711176,3.1541764312711176
dependent_deprel_det:poss,-3.0710815441448203,3.0710815441448203
dependent_deprel_conj,2.9235271482070946,2.9235271482070946
dependent_deprel_nmod:poss,-2.452991696887556,2.452991696887556
position_numeric,-2.1013499734396923,2.1013499734396923
dependent_deprel_case,-2.0968454753272914,2.0968454753272914
dependent_deprel_advmod:lmod,-2.0072921066572214,2.0072921066572214
dependent_deprel_cop,1.9715852484205172,1.9715852484205172
dependent_deprel_ccomp,1.8578077566034183,1.8578077566034183
dependent_deprel_nummod,-1.7263198968032754,1.7263198968032754
dependent_deprel_acl,1.6790265693339648,1.6790265693339648
num_dependents_dependent,-1.5442150461675808,1.5442150461675808
dependent_upos_ADP,1.4183060831239476,1.4183060831239476
dependent_deprel_acl:cleft,1.2484028699942602,1.2484028699942602
dependent_deprel_dislocated:res,-1.1609021288334553,1.1609021288334553
dependent_deprel_acl:relcl,-1.103145082354991,1.103145082354991
dependent_deprel_det,-1.0520948782198762,1.0520948782198762
dependent_upos_DET,0.9645725352021283,0.9645725352021283
dependent_deprel_compound:redup,0.9390220971784896,0.9390220971784896
dependent_deprel_advmod,-0.9069770736690256,0.9069770736690256
dependent_deprel_obj,0.8775468821124244,0.8775468821124244
dependent_deprel_appos,-0.8589992799988482,0.8589992799988482
dependent_deprel_mark,-0.8467170233025033,0.8467170233025033
dependent_deprel_vocative,0.8348781730598239,0.8348781730598239
dependent_upos_NUM,0.8040037318897182,0.8040037318897182
source_file_Dk5_B.conllu,0.800214880511295,0.800214880511295
dependent_deprel_aux,0.7752928698601348,0.7752928698601348
dependent_upos_CCONJ,0.6716690119115419,0.6716690119115419
dependent_deprel_nsubj,-0.6398351867678393,0.6398351867678393
dependent_upos_SCONJ,0.6156852390962705,0.6156852390962705
source_file_RAF-TD2.conllu,0.6004635653274719,0.6004635653274719
dependent_deprel_cc,0.5777360586914934,0.5777360586914934
dependent_upos_ADJ,-0.5652134682499405,0.5652134682499405
dependent_deprel_dislocated:topic,0.5632828758296071,0.5632828758296071
source_file_GBd_TD1.conllu,0.5119315675692531,0.5119315675692531
dependent_upos_NOUN,0.5045247329369243,0.5045247329369243
dependent_deprel_obl,0.48729032693492547,0.48729032693492547
dependent_deprel_csubj,0.47624608990939016,0.47624608990939016
dependent_deprel_dislocated,0.4633070389465387,0.4633070389465387
dependent_deprel_list,0.444319246862852,0.444319246862852
source_file_Dk7-B.conllu,0.44073369049391514,0.44073369049391514
dependent_upos_ADV,-0.43256127390451926,0.43256127390451926
distance,0.4020702800412697,0.4020702800412697
dependent_deprel_advmod:tmod,0.39692690991313384,0.39692690991313384
source_file_DD-K35.conllu,0.38520465509205265,0.38520465509205265
dependent_upos_X,0.3133164752563859,0.3133164752563859
dependent_upos_AUX,-0.30055327720448966,0.30055327720448966
source_file_ZWY-K20.conllu,0.2796748905745775,0.2796748905745775
dependent_deprel_xcomp,0.26331407071247304,0.26331407071247304
dependent_deprel_obl:tmod,0.24611404981184423,0.24611404981184423
dependent_deprel_obl:lmod,0.23249824647079223,0.23249824647079223
source_file_NM_TD4a.conllu,0.2213226972005637,0.2213226972005637
source_file_RFS-TD2.conllu,0.21860227034847202,0.21860227034847202
dependent_upos_PROPN,-0.20675610339958736,0.20675610339958736
dependent_upos_VERB,0.1997168498854902,0.1997168498854902
source_file_NM_K35.conllu,0.1886671304288489,0.1886671304288489
source_file_ZWY-K43a.conllu,0.1804465674015751,0.1804465674015751
dependent_deprel_advmod:emph,0.15022779158416286,0.15022779158416286
source_file_Col_RFS_TD2.conllu,-0.13565409983353194,0.13565409983353194
dependent_deprel_compound:lvc,0.11829368170330712,0.11829368170330712
source_file_DMX-L19.conllu,0.11712830169763637,0.11712830169763637
is_verbal,-0.10083642731899493,0.10083642731899493
dependent_upos_PART,-0.09518063244750635,0.09518063244750635
dependent_upos_PRON,-0.08431413137912262,0.08431413137912262
dependent_deprel_compound,0.08411630405154046,0.08411630405154046
dependent_deprel_nsubj:pass,0.08356733336155757,0.08356733336155757
num_dependents_nominal,-0.07545380592589053,0.07545380592589053
dependent_deprel_cc:nc,0.07071845437699617,0.07071845437699617
dependent_deprel_nsubj:outer,0.06578577102622409,0.06578577102622409
dependent_deprel_iobj,0.05501747798619598,0.05501747798619598
dependent_deprel_nsubj:emph,0.03737116672978095,0.03737116672978095
dependent_deprel_clf,0.03075796119654202,0.03075796119654202
dependent_deprel_flat,-0.030538458336023738,0.030538458336023738
dependent_deprel_cc:preconj,0.022905645614814014,0.022905645614814014
dependent_deprel_advmod:tim,0.018978212927576323,0.018978212927576323
dependent_deprel_det:emph,0.003970290844878774,0.003970290844878774
dependent_deprel_discourse,0.003393158014555185,0.003393158014555185
dependent_upos_PUNCT,0.0015203440866758896,0.0015203440866758896
dependent_deprel_fixed,0.0014428015461046884,0.0014428015461046884
