,Misclassification Coefficient (Avg),Percentage Contribution (%)
num_dependents_dependent,1.747991967871486,27.58675328791
is_verbal,1.1375502008032128,17.952780858817935
distance,0.9899598393574297,15.623514498494693
position_numeric,-0.6726907630522089,10.616384091269213
dependent_upos_NOUN,0.37349397590361444,5.894469973062906
deprel_nmod,0.3172690763052209,5.007130407225479
dependent_upos_ADJ,0.1746987951807229,2.7570907938520044
dependent_upos_VERB,0.12550200803212852,1.9806686737442563
deprel_acl:relcl,0.1144578313253012,1.8063698304547615
deprel_conj,0.0893574297188755,1.4102360957059104
deprel_amod,0.08835341365461848,1.3943907463159564
dependent_upos_PROPN,0.07730923694779117,1.2200919030264619
dependent_upos_PRON,0.06726907630522089,1.0616384091269213
deprel_advcl,0.05321285140562249,0.8398035176675647
deprel_appos,0.05220883534136546,0.8239581682776104
deprel_obl,0.0391566265060241,0.6179686262082079
dependent_upos_ADV,0.03714859437751004,0.5862779274282998
dependent_upos_DET,0.028112449799196786,0.4436697829187134
deprel_nsubj,0.02710843373493976,0.4278244335287593
dependent_upos_NUM,0.02610441767068273,0.4119790841388052
deprel_advmod,0.018072289156626505,0.2852162890191729
deprel_acl,0.014056224899598393,0.2218348914593567
dependent_upos_AUX,0.012048192771084338,0.1901441926794486
deprel_csubj,0.008032128514056224,0.1267627951196324
deprel_flat,0.007028112449799197,0.11091744572967835
deprel_xcomp,0.007028112449799197,0.11091744572967835
deprel_advmod:lmod,0.0050200803212851405,0.07922674694977024
deprel_advmod:emph,0.0050200803212851405,0.07922674694977024
deprel_acl:cleft,0.0050200803212851405,0.07922674694977024
deprel_iobj,0.004016064257028112,0.0633813975598162
deprel_cop,0.004016064257028112,0.0633813975598162
deprel_det:poss,0.0030120481927710845,0.04753604816986215
dependent_upos_CCONJ,0.0030120481927710845,0.04753604816986215
dependent_upos_SCONJ,0.002008032128514056,0.0316906987799081
dependent_upos_X_position_interaction,0.0,0.0
deprel_aux,0.0,0.0
deprel_compound:lvc,0.0,0.0
deprel_compound:redup,0.0,0.0
deprel_advmod:tmod,0.0,0.0
deprel_ccomp,0.0,0.0
deprel_dislocated:res,0.0,0.0
deprel_dislocated:topic,0.0,0.0
deprel_nmod:poss,0.0,0.0
deprel_list,0.0,0.0
deprel_obl:lmod,0.0,0.0
deprel_obj,0.0,0.0
deprel_obl:tmod,0.0,0.0
deprel_orphan,0.0,0.0
deprel_parataxis,0.0,0.0
deprel_vocative,0.0,0.0
